autobotdescmgr.1	战斗经验值奖励{0}%
mabinogi_gameword.18	近战自动防御
mabinogi_gameword.19	魔法自动防御
mabinogi_gameword.20	远程自动防御
mabinogi_gameword.21	采集速度
mabinogi_gameword.22	采集成功率
mabinogi_gameword.23	采集数量
mabinogi_gameword.24	施展速度
mabinogi_gameword.25	移动速度
mabinogi_gameword.26	贸易中移动速度
mabinogi_gameword.27	第2幕: 怒气上涌伤害倍率
mabinogi_gameword.28	人偶最小伤害
mabinogi_gameword.29	人偶最大伤害
mabinogi_gameword.30	人偶生命值
mabinogi_gameword.31	人偶防御
mabinogi_gameword.32	人偶保护
mabinogi_gameword.33	人偶魔法防御
mabinogi_gameword.34	人偶操纵术最小伤害
mabinogi_gameword.35	人偶操纵术最大伤害
mabinogi_gameword.36	人偶操纵术致命一击几率增加
mabinogi_gameword.37	人偶操纵术平衡
mabinogi_gameword.38	偶然的冲突僵直时间
mabinogi_gameword.39	嫉妒的化身伤害
mabinogi_gameword.40	诱惑陷阱攻击范围
mabinogi_gameword.41	疯狂地疾走伤害
mabinogi_gameword.42	第2幕: 怒气上涌3连击伤害
mabinogi_gameword.43	生产物品品质
mabinogi_gameword.44	炼金术成功率增加
mabinogi_gameword.45	双枪最小伤害
mabinogi_gameword.46	双枪最大伤害
mabinogi_gameword.47	最大装弹数增加
mabinogi_gameword.48	魔法保护
mabinogi_gameword.49	魔法防御力
mabinogi_gameword.50	魔法保护
mabinogi_gameword.51	手里剑最小伤害
mabinogi_gameword.52	手里剑最大伤害
mabinogi_gameword.53	链刃最小伤害
mabinogi_gameword.54	链刃最大伤害
mabinogi_gameword.55	音乐增益技能持续时间
mabinogi_gameword.56	拳套最小伤害
mabinogi_gameword.57	拳套最大伤害
mabinogi_gameword.58	所有属性的炼金术伤害
mabinogi_item.1	我是萌新
mabinogi_itemforjob.1	变更为{0}
mabinogi_itemforjob.2	{0}增加
mabinogi_itemforjob.3	{0}减少
mabinogi_itemforjob.4	{0}%增加
mabinogi_itemforjob.5	{0}%减少
mabinogi_job.1	冒险家
mabinogi_job.2	战士
mabinogi_job.3	魔法师
mabinogi_job.4	弓手
mabinogi_job.5	商人
mabinogi_job.6	炼金术士
mabinogi_job.7	格斗家
mabinogi_job.8	吟游诗人
mabinogi_job.9	人偶师
mabinogi_job.10	枪手
mabinogi_minigame.1	黑手党
mabinogi_minigame.2	市民
mabinogi_minigame.3	警察
mabinogi_minigame.4	变态
mabinogi_minigame.5	灵媒
mabinogi_minigame.6	医生
mabinogi_minigame.7	观战者
mabinogi_minigame.8	正常
mabinogi_minigame.9	下线
mabinogi_minigame.10	淘汰
mabinogi_minigame.11	邀请投票
mabinogi_minigame.12	投票完毕
mabinogi_party.1	黑手党
mabinogi_party.2	无法了解
mabinogi_pfhousing.1	- 金币 : {0} Gold\n
mabinogi_pfhousing.2	- {0} : {1} 个\n
mabinogi_privatefarmdesc.1	{0} {1}个
mabinogi_privatefarmdesc.2	农场石 {0}个
mabinogi_privatefarmdesc.3	美容点数 {0}个
mabinogi_privatefarmdesc.4	, 农场石碎片 {0}个
mabinogi_privatefarmdesc.5	力量
mabinogi_privatefarmdesc.6	敏捷
mabinogi_privatefarmdesc.7	智力
mabinogi_privatefarmdesc.8	意志
mabinogi_privatefarmdesc.9	幸运
mabinogi_privatefarmdesc.10	生命值
mabinogi_privatefarmdesc.11	魔法值
mabinogi_privatefarmdesc.12	体力值
mabinogi_privatefarmdesc.13	最大伤害
mabinogi_privatefarmdesc.14	暴击伤害
mabinogi_privatefarmdesc.15	音乐增益技能效果
mabinogi_privatefarmdesc.16	魔法攻击力
mabinogi_privatefarmdesc.17	额外伤害
mabinogi_privatefarmdesc.23	移动速度
mabinogi_propentity.1	프랍 ClassID를 바꾸려 합니다. objectID: %d 이전 ClassID: %d 바뀌는 ClassID: %d
mabinogi_shadowmissiondesc.1	初级
mabinogi_shadowmissiondesc.2	中级
mabinogi_shadowmissiondesc.3	高级
mabinogi_shadowmissiondesc.4	困难
mabinogi_shadowmissiondesc.5	{0}人
mabinogi_shadowmissiondesc.6	{0}以上
mabinogi_shadowmissiondesc.7	{0}小时{1}分{2}秒
mabinogi_shadowmissiondesc.8	{0}小时{1}分
mabinogi_shadowmissiondesc.9	{0}小时{1}秒
mabinogi_shadowmissiondesc.10	{0}分{1}秒
mabinogi_shadowmissiondesc.11	{0}小时
mabinogi_shadowmissiondesc.12	{0}分
mabinogi_shadowmissiondesc.13	{0}秒
mabinogi_shadowmissiondesc.14	无
mabinogi_shadowmissiondesc.15	任务完成报酬
mabinogi_shadowmissiondesc.16	执行人员 :
mabinogi_shadowmissiondesc.17	执行等级:
mabinogi_shadowmissiondesc.18	限制时间:
mabinogi_shadowmissiondesc.19	无限制
mabinogi_shadowmissiondesc.20	{0}人
mabinogi_shadowmissiondesc.21	{0}人~{1:无限制}
mabinogi_shadowmissiondesc.22	{0}~{1}人
mabinogi_shadowmissiondesc.23	精英
mabinogi_shadowmissiondesc.24	领主
mabinogi_shadowmissiondesc.25	修炼才能等级 :
mabinogi_talent.1	旅行
mabinogi_talent.2	近战
mabinogi_talent.3	魔法
mabinogi_talent.4	弓术
mabinogi_talent.5	贸易
mabinogi_talent.6	战斗炼金
mabinogi_talent.7	格斗术
mabinogi_talent.8	音乐
mabinogi_talent.9	人偶术
mabinogi_talent.10	骑士枪
mabinogi_talent.11	祝福
mabinogi_talent.12	炼成炼金
mabinogi_talent.13	料理
mabinogi_talent.14	铁匠
mabinogi_talent.15	裁缝
mabinogi_talent.16	药品研究
mabinogi_talent.17	木工
mabinogi_talent.18	枪手
mabinogi_talent.19	忍者
mabinogi_talent.20	梅林
mabinogi_talent.21	迪瓦
mabinogi_talent.22	教授J
mabinogi_talent.23	大厨
mabinogi_talent.24	宝物猎人
mabinogi_talent.25	Novice
mabinogi_talent.26	链刃师
mabinogi_talent.27	驭兽师
mabinogi_talent.28	魔纹师
mabinovelmgr.1	神秘的侦探
mastersordereventdescmgr.1	不是活动期间。
mastersordereventdescmgr.2	没有要求的道具。
mastersordereventdescmgr.3	已经获得了奖励。
mastersordereventdescmgr.4	没有该才能的数据。
mastersordereventdescmgr.5	才能等级过低。
mastersordereventdescmgr.6	尚未领取前一个才能等级奖励。
mastersordereventdescmgr.7	没有该才能等级的数据。
mastersordereventdescmgr.8	不是活动期间。
mastersordereventdescmgr.9	没有要求的道具。
msg.afternoon_string	下午
msg.camp.already_have	已经拥有其他帐篷，不能创建新帐篷。
msg.camp.collide_with_char	帐篷范围内有人物。
msg.camp.collide_with_guildstone	帐篷范围内有工会石。
msg.camp.collide_with_item	帐篷范围内有物品。
msg.camp.insufficient_campfire_skill	篝火练习等级无法使用。
msg.camp.invalid_position	此处不能设置帐篷
msg.camp.invalid_position_msg	此处不能设置帐篷\n可以在村庄外面没有路的地方设置。
msg.camp.near_other_camp	离旁边的帐篷过近。\n请在适当的距离设置。
msg.camp.not_have_campfire_skill	没有篝火技能，无法使用。
msg.camp.not_in_inner	在室内、地下城、竞技场不能设置帐篷。
msg.camp.outter	<mini>TO</mini> 出去
msg.camp.pet_cannot_use	宠物角色不能使用篝火箱。
msg.camp.too_narrow	这个地方过小不能设置帐篷
msg.camp.unable_in_using_skill	使用技能时不能使用帐篷
msg.cannot_explore_now	需要稍后再试。
msg.dawn_string	清晨
msg.dayntime	{0:day}{1:time}
msg.dungeon_exit_notice_msg	Return to the World\n确定要离开吗？
msg.dungeon_exit_notice_title	Warning\n警告
msg.equal	{0}是 {1} 时
msg.forenoon_string	上午
msg.greater_or_equal	{0}是 {1} 以上时
msg.greaterthan	{0}比 {1} 大时
msg.insufficient_mana_to_useskill	魔法不足，不能使用技能。
msg.insufficient_stamina_to_useskill	体力不足，不能使用技能。
msg.less	{0}比 {1} 小时
msg.less_or_equal	{0}是 {1} 以下时
msg.night_string	夜晚
msg.ps_shop.too_close_another	与别人的个人商店过近。
msg.ruin_dungeon_exit_notice_msg	Return to the World\n要从遗迹入口处去吗？
msg.ruin_dungeon_exit_notice_title	Warning\n警告
msg.skill_rank_bonus	技能等级奖励 :
msg.skilllevel_equal	{0} 等级 {1} 时
msg.skilllevel_greather_or_equal	{0} 等级 {1} 以上时
msg.skilllevel_less_or_equal	{0} 等级 {1} 以下时
msg.thedayaftertomorrow_string	后天
msg.time_after_1	{0}日 {1}个小时 {2}分钟后
msg.time_after_2	{0}日 {1}个小时后
msg.time_after_3	{0}日 {1}分钟后
msg.time_after_4	{0}日后
msg.time_after_5	{0}个小时 {1}分钟后
msg.time_after_6	{0}个小时后
msg.time_after_7	{0}分钟后
msg.today_string	今天
msg.tomorrow_string	明天
msg.untrain_notice	{0} 技能没有得到训练\n
msg.untrain_result_decrase	\n{0} {1} 减少
msg.untrain_result_increase	\n{0} {1} 增加
msg.untrain_result_notice	退级的效果如下\n
msg.untrain_reward_ap	\n技能点数增加 {0} 点
msg.useitemresurrection_remote_failed	人物名称错误，或是对应人物不是不能行动状态。
msg.wand_mana_dried_out	与魔杖连接的魔法值消失了!!
myknightsdescmgr.1	神圣
myknightsdescmgr.2	力量
myknightsdescmgr.3	智力
myknightsdescmgr.4	敏捷
myknightsdescmgr.5	意志
myknightsdescmgr.6	幸运
myknightsdescmgr.7	使徒
myknightsdescmgr.8	普通怪物
myknightsdescmgr.9	历史
myknightsdescmgr.10	物品
myknightsdescmgr.11	先知者
myknightsdescmgr.12	人物
myknightsdescmgr.13	完成
myknightsdescmgr.14	{0}天
myknightsdescmgr.15	{0}小时
myknightsdescmgr.16	消耗
myknightsdescmgr.17	\n(现实 {0})
myknightsdescmgr.18	不存在的见习骑士。
myknightsdescmgr.19	现在见习骑士无法实行任务。
myknightsdescmgr.20	见习骑士因为压力过高拒绝了任务。
myknightsdescmgr.21	无效的任务。
myknightsdescmgr.22	因为指挥等级低，所以无法实行任务。
myknightsdescmgr.23	已经拥有任务。
myknightsdescmgr.24	无法生成任务。
myknightsdescmgr.25	无法添加任务。
myknightsdescmgr.26	无法反复的任务。
myknightsdescmgr.27	因为指挥等级低，所以无法实行任务。
myknightsdescmgr.28	没有实行任务的关键字。
myknightsdescmgr.29	不是实行任务的见习骑士。
myknightsdescmgr.30	没有所需的引进人员。
myknightsdescmgr.31	因为好感度低，所以无法实行任务。
myknightsdescmgr.32	因为任务成功率过低，无法实行任务。
object.bank_defaultname	银行
object.character_dump_server	竖琴
object.item_blessed	得到祝福的
object.item_incompleted	(未完成)
object.item_option_addcondition_onattack	{0}%概率的攻击赋予 {1}属性
object.item_option_decrease	{0} {1} 减少
object.item_option_decrease_percent	{0} {1}% 减少
object.item_option_increase	{0} {1} 增加
object.item_option_increase_percent	{0} {1}% 增加
object.item_option_set_permil	{0} 变为现在的 {1}%
object.item_option_set_to	{0} 固定为 {1}
object.manual_level	\n\n难易度 : {0}
object.manual_level_training	\n\n难易度 : 练习等级
object.moongate_desc	通往{0}的\n{1} 星月门
object.moongate_name	{0} 星月门
object.moongate_name_2	{0} 星月门
object.pet_name	{0}的{1}
object.sealbreaker_and_sealname	{0}解开了 {1}
object.sealstone_bangor	班格的封印石
object.sealstone_ciar	赛尔地下城的封印石
object.sealstone_dugald	杜加德走廊的封印石
object.sealstone_fiodh	菲奥纳的封印石
object.sealstone_math	玛斯地下城的封印石
object.sealstone_rabbie	拉比地下城的封印石
partyboarddescmgr.1	迷你游戏
partyboardmgr.1	练习等级
partyboardmgr.2	没有限制
partyboardmgr.3	累计等级{0}以上
partyboardmgr.4	{0} {1}以上
partyboardmgr.5	秘密
partyboardmgr.6	公开
partyboardmgr.7	普通
partyboardmgr.8	地下城
partyboardmgr.9	竞技场
partyboardmgr.10	合奏
partyboardmgr.11	查看全部
partyboardmgr.12	没有限制
partyboardmgr.13	没有限制
partyboardmgr.14	没有限制
partyboardmgr.15	没有限制
partyboardmgr.16	没有限制
partyboardmgr.17	没有限制
partyboardmgr.18	{0}等级
partyboardmgr.19	{0}等级
partyboardmgr.20	骑士团组队
pccarddescmgr.1	生命力
pccarddescmgr.2	魔法
pccarddescmgr.3	体力值
pccarddescmgr.4	力量
pccarddescmgr.5	智力
pccarddescmgr.6	敏捷
pccarddescmgr.7	意志
pccarddescmgr.8	幸运
pccarddescmgr.9	{0:数值} -{1:数值}
pccarddescmgr.10	{0:数值} +{1:数值}
pccarddescmgr.11	{0:数值} x1/{1:数值}
pccarddescmgr.12	{0:数值} x{1:数值}
pccarddescmgr.13	{0:角色卡名称} 奖励\n\n{1:奖励数值列表}
privatefarmdescmgr.1	<color={0}>{1}套装效果\n
privatefarmdescmgr.2	<color=3>系列套装</color>\n
privatefarmdescmgr.3	增加\n
questresult.1	王城炼金术士活动金币{0}
questresult.2	杜卡特 {0}
questresult.3	神圣经验值 {0}
questresult.4	指挥经验值 {0}
questresult.5	训练点 {0}
questresult.6	点数任务点数 {0}
recommendflagtable.1	经验值 +{0}
recommendflagtable.2	{0} - 推荐人将获得{1}推荐经验值。
setitemmgr.1	增加
setitemmgr.2	减少
setitemmgr.3	增加
setitemmgr.4	减少
setitemmgr.5	不能对无法适用套装效果的道具使用。
setitemmgr.6	套装效果已达到{0}，无法使用道具。
setparameter.1	{0}度
setparameter.2	{0}秒
setparameter.3	{0} {1} 鉴定
setparameter.4	人类或精灵种族时可以无盾冲撞
setparameter.5	特殊技能 {0} 鉴定
setparameter.6	修炼经验值
setparameter.7	{0} {1}级
setparameter.8	人类或精灵种族时可以无盾冲撞
setparameter.9	特定技能{0}级
setparameter.10	{0} {1} 等级 \n({2} {3})
setparameter.11	冷却时间
setparameter.12	{0}\n({1}/{2}等级)
setparameter.13	{0}\n({1}/{2}等级 : {3} {4})
setparameter.14	{0}\n({1}/{2}等级)
setparameter.15	{0}\n({1}/{2}等级 : {3} {4})
setparameter.16	{0}({1}等级)
setparameter.17	{0}({1}等级:{2} {3})
setparameter.18	{0}{1}等级
shapeshiftdescmgr.1	无奖励加成
shapeshiftdescmgr.2	生命值
shapeshiftdescmgr.3	魔法值
shapeshiftdescmgr.4	体力值
shapeshiftdescmgr.5	力量
shapeshiftdescmgr.6	智力
shapeshiftdescmgr.7	敏捷
shapeshiftdescmgr.8	意志
shapeshiftdescmgr.9	幸运
shapeshiftdescmgr.10	最小攻击力
shapeshiftdescmgr.11	最大攻击力
shapeshiftdescmgr.12	防御
shapeshiftdescmgr.13	保护
shapeshiftdescmgr.14	<color=4>{0:加成种类}</color>  <color=5>+{1:加成参数}</color>
shapeshiftdescmgr.15	<color=4>{0:加成种类}</color>  <color=5>+{1:加成参数}%</color>
shapeshiftdescmgr.16	魔法防御
shapeshiftdescmgr.17	魔法保护
skillpromotiondescmgr.1	参加费不足。
skillpromotiondescmgr.2	今天不能在参加考试了。
skillpromotiondescmgr.3	此技能不可以升段。
skillpromotiondescmgr.4	此等级不可以升段。
specializationdescmgr.1	修行之布雷
specializationdescmgr.2	挑战之布雷
specializationdescmgr.3	交感之布雷
specializationrequirement.1	生命值
specializationrequirement.2	魔法
specializationrequirement.3	体力
specializationrequirement.4	力量
specializationrequirement.5	智力
specializationrequirement.6	敏捷
specializationrequirement.7	意志
specializationrequirement.8	幸运
specializationrequirement.9	最大伤害
specializationrequirement.10	最小伤害
specializationrequirement.11	魔法攻击力
specializationrequirement.12	防御
specializationrequirement.13	保护
specializationrequirement.14	魔法防御
specializationrequirement.15	魔法保护
specializationrequirement.16	防御贯通
specializationrequirement.17	重甲
specializationrequirement.18	轻甲
specializationrequirement.19	{0} 或者 {1}
specializationrequirement.20	{0} 或者 {1}
specializationrequirement.21	{0} 或者 {1}
synthesismgr.1	(dev) %s 随机前[ %f ]
synthesismgr.2	随机后[ %f ]
synthesismgr.3	(dev) {0} 随机前[ {1} ]
synthesismgr.4	随机后[ {0} ]
talentdescmgr.1	新手
talentdescmgr.2	初学者
talentdescmgr.3	见习
talentdescmgr.4	熟练
talentdescmgr.5	佣兵
talentdescmgr.6	专家
talentdescmgr.7	首席
talentdescmgr.8	上级
talentdescmgr.9	一流
talentdescmgr.10	特级
talentdescmgr.11	达人
talentdescmgr.12	皇家
talentdescmgr.13	冠军
talentdescmgr.14	大
talentdescmgr.15	大师
talentdescmgr.16	宗师
usercreatedtotemdescmgr.1	力量
usercreatedtotemdescmgr.2	防御
usercreatedtotemdescmgr.3	生命力
usercreatedtotemdescmgr.4	意志
usercreatedtotemdescmgr.5	体力
usercreatedtotemdescmgr.6	运气
usercreatedtotemdescmgr.7	最大伤害
usercreatedtotemdescmgr.8	暴击 伤害
usercreatedtotemdescmgr.9	平衡
usercreatedtotemdescmgr.10	智力
usercreatedtotemdescmgr.11	敏捷
usercreatedtotemdescmgr.12	暴击
usercreatedtotemdescmgr.13	魔法
usercreatedtotemdescmgr.14	魔法防御
usercreatedtotemdescmgr.15	魔法攻击力
usercreatedtotemdescmgr.16	肉体之轮
usercreatedtotemdescmgr.17	精神之轮
usercreatedtotemdescmgr.18	锐利之轮
usercreatedtotemdescmgr.19	精致之轮
usercreatedtotemdescmgr.20	魔法之轮
usercreatedtotemdescmgr.21	最大生命值
usercreatedtotemdescmgr.22	最大体力
usercreatedtotemdescmgr.23	最大魔法
usercreatedtotemdescmgr.24	最大伤害
usercreatedtotemdescmgr.25	最小伤害
usercreatedtotemdescmgr.26	最大负伤率
usercreatedtotemdescmgr.27	最小负伤率
usercreatedtotemdescmgr.28	第三只眼伤害
usercreatedtotemdescmgr.29	状态支援持续时间
usercreatedtotemdescmgr.30	集中挑衅持续时间
usercreatedtotemdescmgr.31	再生领域效果范围
usercreatedtotemdescmgr.32	万钧之力伤害累积
usercreatedtotemdescmgr.33	第三只眼之轮
usercreatedtotemdescmgr.34	状态支援之轮
usercreatedtotemdescmgr.35	集中挑衅之轮
usercreatedtotemdescmgr.36	再生领域之轮
usercreatedtotemdescmgr.37	万钧之力之轮
usercreatedtotemdescmgr.38	秒
usercreatedtotemelement.1	{0}LV:{1} +{2}
